month,indicator,value
2015-01,cpi,0.8
2015-01,lpr_1y,5.51
2015-01,m0,-17.6
2015-01,m1,10.6
2015-01,m2,10.8
2015-01,pmi,50.1
2015-01,ppi,-4.3
2015-01,us_cpi,-0.1
2015-02,cpi,1.4
2015-02,industrial_production,6.8
2015-02,lpr_1y,5.51
2015-02,m0,17.0
2015-02,m1,5.6
2015-02,m2,12.5
2015-02,pmi,49.8
2015-02,ppi,-4.8
2015-02,sf_enterprise,9296.49
2015-02,sf_household,2119.47
2015-02,us_cpi,0.0
2015-03,cpi,1.4
2015-03,industrial_production,5.6
2015-03,lpr_1y,5.3
2015-03,m0,6.2
2015-03,m1,2.9
2015-03,m2,11.6
2015-03,pmi,49.9
2015-03,ppi,-4.6
2015-03,retail_sales,10.2445321
2015-03,sf_enterprise,7388.32
2015-03,sf_household,2511.07
2015-03,us_cpi,-0.1
2015-04,cpi,1.5
2015-04,industrial_production,5.9
2015-04,lpr_1y,5.3
2015-04,m0,3.7
2015-04,m1,3.7
2015-04,m2,10.1
2015-04,pmi,50.1
2015-04,ppi,-4.6
2015-04,retail_sales,10.00244532
2015-04,sf_enterprise,5099.53
2015-04,sf_household,2923.46
2015-04,us_cpi,-0.2
2015-05,cpi,1.2
2015-05,industrial_production,6.1
2015-05,lpr_1y,5.05
2015-05,m0,1.8
2015-05,m1,4.7
2015-05,m2,10.8
2015-05,pmi,50.1
2015-05,ppi,-4.6
2015-05,retail_sales,10.1302089
2015-05,sf_enterprise,5397.37
2015-05,sf_household,3109.8
2015-05,us_cpi,0.0
2015-06,cpi,1.4
2015-06,industrial_production,6.8
2015-06,lpr_1y,4.8
2015-06,m0,2.9
2015-06,m1,4.3
2015-06,m2,11.8
2015-06,pmi,50.2
2015-06,ppi,-4.8
2015-06,retail_sales,10.63195199
2015-06,sf_enterprise,8594.72
2015-06,sf_household,4612.8
2015-06,us_cpi,0.1
2015-07,cpi,1.6
2015-07,industrial_production,6.0
2015-07,lpr_1y,4.8
2015-07,m0,2.9
2015-07,m1,6.6
2015-07,m2,13.3
2015-07,pmi,50.2
2015-07,ppi,-5.4
2015-07,retail_sales,10.5
2015-07,sf_enterprise,3126.9
2015-07,sf_household,2752.43
2015-07,us_cpi,0.2
2015-08,cpi,2.0
2015-08,industrial_production,6.1
2015-08,lpr_1y,4.55
2015-08,m0,1.8
2015-08,m1,9.3
2015-08,m2,13.3
2015-08,pmi,50.0
2015-08,ppi,-5.9
2015-08,retail_sales,10.79231685
2015-08,sf_enterprise,4209.82
2015-08,sf_household,3530.09
2015-08,us_cpi,0.2
2015-09,cpi,1.6
2015-09,industrial_production,5.7
2015-09,lpr_1y,4.55
2015-09,m0,3.7
2015-09,m1,11.4
2015-09,m2,13.1
2015-09,pmi,49.7
2015-09,ppi,-5.9
2015-09,retail_sales,10.9
2015-09,sf_enterprise,6205.96
2015-09,sf_household,4201.95
2015-09,us_cpi,0.0
2015-10,cpi,1.3
2015-10,industrial_production,5.6
2015-10,lpr_1y,4.3
2015-10,m0,3.8
2015-10,m1,14.0
2015-10,m2,13.5
2015-10,pmi,49.8
2015-10,ppi,-5.9
2015-10,retail_sales,11.02340137
2015-10,sf_enterprise,3880.91
2015-10,sf_household,1671.03
2015-10,us_cpi,0.2
2015-11,cpi,1.5
2015-11,industrial_production,6.2
2015-11,lpr_1y,4.3
2015-11,m0,3.2
2015-11,m1,15.7
2015-11,m2,13.7
2015-11,pmi,49.8
2015-11,ppi,-5.9
2015-11,retail_sales,11.17222839
2015-11,sf_enterprise,5011.14
2015-11,sf_household,3844.29
2015-11,us_cpi,0.5
2015-12,cpi,1.6
